LSOA11C,Decile
E01009377,1
E01009378,2
E01009379,1
E01009380,1
E01009382,1
E01009383,1
E01009384,1
E01009385,2
E01009389,2
E01009390,2
E01009391,2
E01009392,2
E01009393,2
E01009394,4
E01009395,2
E01009396,1
E01009397,1
E01009399,1
E01009400,1
E01009401,1
E01009403,2
E01009404,1
E01009405,2
E01009406,1
E01009407,2
E01009408,1
E01009409,2
E01009410,1
E01009411,3
E01009412,1
E01009413,1
E01009414,2
E01009415,9
E01009416,9
E01009417,7
E01009418,5
E01009419,6
E01009420,9
E01009421,10
E01009422,9
E01009423,4
E01009424,7
E01009425,8
E01009426,10
E01009427,7
E01009428,10
E01009429,10
E01009430,9
E01009431,10
E01009432,5
E01009433,9
E01009434,8
E01009435,9
E01009436,10
E01009437,8
E01009438,9
E01009439,7
E01009440,8
E01009441,3
E01009442,7
E01009443,6
E01009444,10
E01009445,1
E01009446,6
E01009447,5
E01009448,2
E01009449,4
E01009450,6
E01009451,5
E01009452,7
E01009453,7
E01009454,8
E01009455,2
E01009456,8
E01009457,9
E01009458,3
E01009459,8
E01009460,4
E01009461,9
E01009462,5
E01009463,9
E01009464,8
E01009465,8
E01009466,8
E01009467,6
E01009468,8
E01009469,8
E01009470,10
E01009471,7
E01009472,8
E01009473,5
E01009474,7
E01009475,1
E01009476,1
E01009477,1
E01009478,1
E01009479,1
E01009480,1
E01009481,2
E01009482,1
E01009483,1
E01009484,1
E01009485,1
E01009486,1
E01009487,2
E01009488,1
E01009489,1
E01009490,1
E01009491,1
E01009492,1
E01009493,1
E01009494,1
E01009495,1
E01009496,5
E01009497,4
E01009498,1
E01009499,2
E01009500,1
E01009501,1
E01009502,1
E01009503,1
E01009504,4
E01009505,1
E01009506,7
E01009507,1
E01009508,3
E01009509,2
E01009510,1
E01009511,1
E01009512,1
E01009513,1
E01009514,1
E01009515,2
E01009516,2
E01009517,1
E01009518,4
E01009519,5
E01009520,5
E01009521,5
E01010108,10
E01010109,5
E01010110,5
E01010111,1
E01010112,3
E01010113,3
E01010114,6
E01010115,5
E01010116,9
E01010117,9
E01010118,5
E01010119,8
E01010120,4
E01010121,7
E01010122,8
E01010123,6
E01010124,7
E01010125,1
E01010126,1
E01010127,3
E01010128,2
E01010129,1
E01010130,1
E01010131,1
E01010132,6
E01010133,6
E01010134,8
E01010135,5
E01010136,7
E01010137,3
E01010138,7
E01010139,3
E01010140,1
E01010141,1
E01010142,1
E01010143,1
E01010144,3
E01010145,4
E01010146,2
E01010147,1
E01010148,1
E01010149,3
E01010150,10
E01010151,8
E01010152,10
E01010153,10
E01010154,9
E01010155,10
E01010156,10
E01010157,6
E01010158,2
E01010159,4
E01010160,5
E01010161,8
E01010162,7
E01010163,7
E01010164,8
E01010165,6
E01010166,10
E01010167,5
E01010168,9
E01010169,10
E01010170,10
E01010171,9
E01010172,10
E01010173,10
E01010174,6
E01010175,9
E01010176,10
E01010177,6
E01010178,3
E01010179,8
E01010180,9
E01010181,10
E01010183,9
E01010184,6
E01010185,10
E01010186,10
E01010187,10
E01010188,10
E01010189,10
E01010190,10
E01010191,10
E01010192,9
E01010193,10
E01010194,10
E01010195,10
E01010196,10
E01010197,10
E01010198,10
E01010199,10
E01010200,6
E01010201,9
E01010202,10
E01010203,8
E01010204,2
E01010205,10
E01010206,8
E01010207,10
E01010208,8
E01010209,7
E01010210,9
E01010211,5
E01010212,10
E01010213,5
E01010214,10
E01010215,9
E01010216,10
E01010217,10
E01010218,3
E01010219,6
E01010220,9
E01010221,6
E01010222,8
E01010223,5
E01010225,8
E01010226,8
E01010227,9
E01010228,7
E01010229,10
E01010230,5
E01010231,10
E01010232,6
E01010233,6
E01010234,1
E01010235,1
E01010236,2
E01010237,3
E01010238,1
E01010239,1
E01010240,2
E01032589,5
E01032590,6
E01032591,6
E01032885,10
E01032886,9
E01033557,5
E01033559,5
E01033561,3
E01033562,3
E01033564,4
E01033565,5
E01033567,4
E01033615,4
E01033616,1
E01033617,4
E01033618,7
E01033619,5
E01033620,3
E01033621,1
E01033622,6
E01033623,3
E01033624,3
E01033625,7
E01033626,3
E01033627,1
E01033628,1
E01033629,2
E01033630,2
E01033631,7
E01033632,1
E01033633,1
E01033634,6
E01033635,1
E01033636,1
E01033637,1
E01033638,1
E01033639,1
E01033640,1
E01033641,2
E01033642,2
E01033643,1
E01033644,1
E01033645,1
E01033646,1
E01033647,1
E01033648,1
E01033649,1
E01033650,1
